Permiso;Grupo;Protection
android.permission.FOREGROUND_SERVICE_MEDIA_PROJECTION;;Normal
android.permission.FOREGROUND_SERVICE_MICROPHONE;;Normal
android.permission.FOREGROUND_SERVICE_PHONE_CALL;;Normal
android.permission.FOREGROUND_SERVICE_HEALTH;;Normal
android.permission.FOREGROUND_SERVICE_REMOTE_MESSAGING;;Normal
android.permission.FOREGROUND_SERVICE_SYSTEM_EXEMPTED;;Normal
android.permission.FOREGROUND_SERVICE_FILE_MANAGEMENT;;Normal
android.permission.FOREGROUND_SERVICE_SPECIAL_USE;;Normal
android.permission.MANAGE_CLIPBOARD_ACCESS_NOTIFICATION;;Signature
android.permission.USE_FULL_SCREEN_INTENT;;Normal
android.permission.UPDATE_PACKAGES_WITHOUT_USER_ACTION;;Normal
android.permission.ENFORCE_UPDATE_OWNERSHIP;;Normal
android.permission.MAKE_UID_VISIBLE;;Signature
android.permission.HANDLE_QUERY_PACKAGE_RESTART;;Signature
android.permission.REMAP_MODIFIER_KEYS;;Signature
android.permission.MONITOR_KEYBOARD_BACKLIGHT;;Signature
android.permission.BIND_WEARABLE_SENSING_SERVICE;;Signature
android.permission.RUN_USER_INITIATED_JOBS;;Normal
android.permission.GET_APP_METADATA;;Signature
android.permission.STAGE_HEALTH_CONNECT_REMOTE_DATA;;Signature
android.permission.DELETE_STAGED_HEALTH_CONNECT_REMOTE_DATA;;Signature
android.permission.MIGRATE_HEALTH_CONNECT_DATA;;Signature
android.permission.LOG_FOREGROUND_RESOURCE_USE;;Signature
android.permission.ACCESS_GPU_SERVICE;;Signature
android.permission.GET_ANY_PROVIDER_TYPE;;Signature
android.permission.SYNC_FLAGS;;Signature
android.permission.WRITE_FLAGS;;Signature
android.permission.READ_CONTACTS;android.permission-group.CONTACTS;Dangerous
android.permission.WRITE_CONTACTS;android.permission-group.CONTACTS;Dangerous
android.permission.READ_CALENDAR;android.permission-group.CALENDAR;Dangerous
android.permission.WRITE_CALENDAR;android.permission-group.CALENDAR;Dangerous
android.permission.SEND_SMS;android.permission-group.SMS;Dangerous
android.permission.RECEIVE_SMS;android.permission-group.SMS;Dangerous
android.permission.READ_SMS;android.permission-group.SMS;Dangerous
android.permission.RECEIVE_WAP_PUSH;android.permission-group.SMS;Dangerous
android.permission.RECEIVE_MMS;android.permission-group.SMS;Dangerous
android.permission.READ_CELL_BROADCASTS;android.permission-group.SMS;Dangerous
android.permission.READ_EXTERNAL_STORAGE;android.permission-group.STORAGE;Dangerous
android.permission.READ_MEDIA_AUDIO;android.permission-group.READ_MEDIA_AURAL;Dangerous
android.permission.READ_MEDIA_VIDEO;android.permission-group.READ_MEDIA_VISUAL;Dangerous
android.permission.READ_MEDIA_IMAGES;android.permission-group.READ_MEDIA_VISUAL;Dangerous
android.permission.READ_MEDIA_VISUAL_USER_SELECTED;android.permission-group.READ_MEDIA_VISUAL;Dangerous
android.permission.WRITE_EXTERNAL_STORAGE;android.permission-group.READ_MEDIA_VISUAL;Dangerous
android.permission.ACCESS_MEDIA_LOCATION;android.permission-group.READ_MEDIA_VISUAL;Dangerous
android.permission.ACCESS_FINE_LOCATION;android.permission-group.LOCATION;Dangerous
android.permission.ACCESS_COARSE_LOCATION;android.permission-group.LOCATION;Dangerous
android.permission.ACCESS_BACKGROUND_LOCATION;android.permission-group.LOCATION;Dangerous
android.permission.READ_CALL_LOG;android.permission-group.CALL_LOG;Dangerous
android.permission.WRITE_CALL_LOG;android.permission-group.CALL_LOG;Dangerous
android.permission.PROCESS_OUTGOING_CALLS;android.permission-group.CALL_LOG;Dangerous
android.permission.READ_PHONE_STATE;android.permission-group.PHONE;Dangerous
android.permission.READ_PHONE_NUMBERS;android.permission-group.PHONE;Dangerous
android.permission.CALL_PHONE;android.permission-group.PHONE;Dangerous
com.android.voicemail.permission.ADD_VOICEMAIL;android.permission-group.PHONE;Dangerous
android.permission.USE_SIP;android.permission-group.PHONE;Dangerous
android.permission.ANSWER_PHONE_CALLS;android.permission-group.PHONE;Dangerous
android.permission.ACCEPT_HANDOVER;android.permission-group.PHONE;Dangerous
android.permission.RECORD_AUDIO;android.permission-group.MICROPHONE;Dangerous
android.permission.ACTIVITY_RECOGNITION;android.permission-group.ACTIVITY_RECOGNITION;Dangerous
android.permission.CAMERA;android.permission-group.CAMERA;Dangerous
android.permission.BODY_SENSORS;android.permission-group.SENSORS;Dangerous
android.permission.BODY_SENSORS_BACKGROUND;android.permission-group.SENSORS;Dangerous
android.permission.POST_NOTIFICATIONS;android.permission-group.NOTIFICATIONS;Dangerous
android.permission.BLUETOOTH_SCAN;android.permission-group.NOTIFICATIONS;Dangerous
android.permission.BLUETOOTH_CONNECT;android.permission-group.NOTIFICATIONS;Dangerous
android.permission.BLUETOOTH_ADVERTISE;android.permission-group.NOTIFICATIONS;Dangerous
android.permission.UWB_RANGING;android.permission-group.NOTIFICATIONS;Dangerous
android.permission.NEARBY_WIFI_DEVICES;android.permission-group.NOTIFICATIONS;Dangerous
android.permission.GET_ACCOUNTS;android.permission-group.NOTIFICATIONS;Dangerous
